teama_maps,teama_kddiff,teama_kdr,teama_rtg,teama_ct_rw,teama_ct_opk,teama_ct_multik,teama_ct_5v4,teama_ct_4v5,teama_ct_trd,teama_ct_adr,teama_ct_fa,teama_t_rw,teama_t_opk,teama_t_multik,teama_t_5v4,teama_t_4v5,teama_t_trd,teama_t_adr,teama_t_fa,teama_ct_pistol_rw,teama_ct_pistol_r2conv,teama_ct_pistol_r2brk,teama_t_pistol_rw,teama_t_pistol_r2conv,teama_t_pistol_r2brk,teamb_maps,teamb_kddiff,teamb_kdr,teamb_rtg,teamb_ct_rw,teamb_ct_opk,teamb_ct_multik,teamb_ct_5v4,teamb_ct_4v5,teamb_ct_trd,teamb_ct_adr,teamb_ct_fa,teamb_t_rw,teamb_t_opk,teamb_t_multik,teamb_t_5v4,teamb_t_4v5,teamb_t_trd,teamb_t_adr,teamb_t_fa,teamb_ct_pistol_rw,teamb_ct_pistol_r2conv,teamb_ct_pistol_r2brk,teamb_t_pistol_rw,teamb_t_pistol_r2conv,teamb_t_pistol_r2brk,match_winner
59.0,-90.0,0.98,1.02,0.525,0.588,0.86,0.7090000000000001,0.263,0.184,31.9,0.23,0.461,0.426,0.67,0.708,0.27699999999999997,0.21899999999999997,15.6,0.28,0.49200000000000005,0.862,0.133,0.39,0.87,0.222,84.0,168.0,1.02,1.05,0.55,0.586,0.86,0.727,0.304,0.193,40.3,0.21,0.46299999999999997,0.414,0.68,0.7070000000000001,0.289,0.19899999999999998,17.2,0.24,0.5710000000000001,0.833,0.278,0.47600000000000003,0.75,0.182,0.0
77.0,275.0,1.04,1.06,0.5770000000000001,0.597,0.93,0.737,0.34299999999999997,0.21,42.9,0.24,0.461,0.39399999999999996,0.67,0.7070000000000001,0.302,0.218,18.6,0.35,0.442,0.853,0.209,0.494,0.8420000000000001,0.179,78.0,435.0,1.07,1.08,0.583,0.614,0.92,0.747,0.325,0.20800000000000002,27.9,0.21,0.49700000000000005,0.419,0.69,0.7559999999999999,0.31,0.204,12.8,0.24,0.603,0.809,0.19399999999999998,0.564,0.932,0.20600000000000002,1.0
74.0,194.0,1.03,1.05,0.569,0.588,0.91,0.7609999999999999,0.29600000000000004,0.195,30.7,0.25,0.46399999999999997,0.41700000000000004,0.7,0.726,0.275,0.2,17.1,0.29,0.486,0.861,0.237,0.419,0.645,0.209,86.0,479.0,1.06,1.07,0.601,0.614,0.93,0.762,0.34700000000000003,0.195,29.8,0.16,0.457,0.41600000000000004,0.7,0.705,0.28,0.195,15.1,0.22,0.523,0.8,0.268,0.535,0.804,0.225,1.0
71.0,333.0,1.06,1.06,0.589,0.622,0.89,0.7609999999999999,0.305,0.21,38.0,0.2,0.451,0.42700000000000005,0.63,0.6920000000000001,0.27,0.172,16.7,0.29,0.451,0.8440000000000001,0.179,0.43700000000000006,0.8059999999999999,0.075,56.0,193.0,1.04,1.04,0.588,0.628,0.94,0.762,0.301,0.19899999999999998,34.5,0.23,0.461,0.381,0.65,0.726,0.298,0.198,15.0,0.29,0.643,0.778,0.6,0.46399999999999997,0.731,0.36700000000000005,1.0
75.0,433.0,1.07,1.08,0.588,0.617,0.92,0.7490000000000001,0.33,0.21100000000000002,27.9,0.22,0.495,0.41600000000000004,0.69,0.757,0.309,0.205,12.6,0.24,0.5870000000000001,0.818,0.19399999999999998,0.56,0.929,0.182,82.0,198.0,1.03,1.05,0.5529999999999999,0.591,0.87,0.728,0.303,0.193,40.3,0.21,0.465,0.41700000000000004,0.69,0.706,0.29100000000000004,0.201,17.1,0.24,0.561,0.848,0.278,0.47600000000000003,0.7440000000000001,0.18600000000000003,1.0
74.0,280.0,1.04,1.06,0.5820000000000001,0.6,0.93,0.74,0.34700000000000003,0.21100000000000002,42.8,0.24,0.45799999999999996,0.391,0.68,0.703,0.301,0.217,18.7,0.34,0.446,0.879,0.22,0.514,0.8420000000000001,0.16699999999999998,57.0,-118.0,0.98,1.02,0.522,0.584,0.86,0.706,0.265,0.183,31.9,0.23,0.457,0.419,0.67,0.7090000000000001,0.276,0.218,14.9,0.28,0.491,0.857,0.138,0.40399999999999997,0.87,0.20600000000000002,1.0
83.0,436.0,1.06,1.07,0.599,0.613,0.93,0.759,0.34600000000000003,0.19399999999999998,29.6,0.16,0.45399999999999996,0.415,0.7,0.703,0.276,0.19399999999999998,14.9,0.22,0.518,0.8140000000000001,0.275,0.542,0.8,0.21100000000000002,54.0,142.0,1.03,1.04,0.583,0.62,0.93,0.7609999999999999,0.299,0.198,34.4,0.23,0.455,0.379,0.65,0.725,0.29,0.19699999999999998,14.9,0.29,0.648,0.7709999999999999,0.579,0.46299999999999997,0.72,0.345,0.0
69.0,391.0,1.07,1.06,0.594,0.624,0.89,0.768,0.307,0.21100000000000002,38.0,0.2,0.456,0.435,0.63,0.693,0.272,0.174,16.9,0.29,0.449,0.871,0.184,0.435,0.833,0.077,71.0,239.0,1.04,1.06,0.574,0.589,0.91,0.767,0.298,0.196,30.9,0.25,0.46799999999999997,0.419,0.7,0.73,0.27899999999999997,0.20199999999999999,17.3,0.29,0.479,0.882,0.243,0.423,0.633,0.195,1.0
80.0,435.0,1.06,1.07,0.602,0.612,0.95,0.754,0.364,0.215,42.3,0.24,0.45899999999999996,0.396,0.68,0.703,0.299,0.218,18.7,0.35,0.45,0.889,0.22699999999999998,0.5379999999999999,0.86,0.135,88.0,401.0,1.05,1.07,0.596,0.606,0.93,0.752,0.35600000000000004,0.195,29.2,0.16,0.451,0.425,0.7,0.695,0.271,0.191,14.5,0.23,0.523,0.848,0.262,0.557,0.8370000000000001,0.205,0.0
85.0,417.0,1.06,1.07,0.596,0.604,0.93,0.7559999999999999,0.35100000000000003,0.19399999999999998,29.5,0.16,0.455,0.428,0.7,0.7,0.272,0.191,14.3,0.22,0.518,0.841,0.244,0.565,0.8540000000000001,0.18899999999999997,59.0,-257.0,0.95,0.99,0.532,0.5660000000000001,0.85,0.713,0.29600000000000004,0.18600000000000003,40.9,0.21,0.435,0.405,0.62,0.691,0.26,0.205,16.2,0.29,0.424,0.68,0.17600000000000002,0.475,0.7859999999999999,0.161,0.0
75.0,165.0,1.02,1.05,0.5670000000000001,0.585,0.9,0.763,0.29,0.192,30.7,0.24,0.469,0.426,0.71,0.723,0.28,0.19899999999999998,18.1,0.27,0.493,0.838,0.237,0.413,0.645,0.182,77.0,420.0,1.06,1.07,0.599,0.61,0.95,0.754,0.36,0.21600000000000003,42.4,0.24,0.462,0.39799999999999996,0.68,0.711,0.298,0.218,19.0,0.35,0.442,0.912,0.209,0.545,0.8809999999999999,0.14300000000000002,1.0
56.0,-231.0,0.95,1.0,0.529,0.57,0.85,0.71,0.29,0.187,41.4,0.21,0.44,0.406,0.63,0.6970000000000001,0.263,0.205,16.2,0.29,0.429,0.667,0.188,0.46399999999999997,0.769,0.16699999999999998,73.0,465.0,1.08,1.08,0.594,0.619,0.93,0.754,0.336,0.213,27.9,0.22,0.495,0.409,0.7,0.76,0.312,0.205,12.5,0.24,0.589,0.8370000000000001,0.2,0.5479999999999999,0.95,0.182,0.0
74.0,408.0,1.07,1.07,0.599,0.61,0.95,0.754,0.358,0.21600000000000003,42.0,0.24,0.46,0.4,0.68,0.7070000000000001,0.295,0.21600000000000003,18.9,0.35,0.446,0.909,0.22,0.541,0.875,0.147,62.0,219.0,1.04,1.05,0.597,0.627,0.93,0.784,0.28800000000000003,0.204,35.4,0.23,0.45,0.385,0.64,0.722,0.28,0.193,14.4,0.29,0.613,0.763,0.45799999999999996,0.435,0.741,0.314,0.0
70.0,471.0,1.08,1.09,0.601,0.618,0.93,0.764,0.33899999999999997,0.215,27.8,0.22,0.498,0.414,0.7,0.759,0.313,0.20800000000000002,12.1,0.24,0.6,0.833,0.214,0.529,0.946,0.182,72.0,180.0,1.03,1.05,0.57,0.583,0.9,0.768,0.293,0.193,31.0,0.24,0.47200000000000003,0.428,0.71,0.7290000000000001,0.281,0.19699999999999998,18.2,0.28,0.5,0.833,0.25,0.40299999999999997,0.621,0.18600000000000003,1.0
82.0,394.0,1.05,1.07,0.594,0.604,0.93,0.754,0.349,0.192,29.8,0.15,0.457,0.424,0.7,0.7040000000000001,0.27399999999999997,0.193,14.3,0.22,0.524,0.8370000000000001,0.256,0.561,0.848,0.19399999999999998,71.0,414.0,1.07,1.07,0.597,0.612,0.95,0.75,0.35700000000000004,0.214,42.2,0.25,0.46299999999999997,0.40299999999999997,0.68,0.708,0.298,0.215,19.0,0.36,0.465,0.909,0.21100000000000002,0.563,0.875,0.129,0.0
61.0,-115.0,0.98,1.02,0.532,0.591,0.86,0.715,0.267,0.184,32.7,0.24,0.45399999999999996,0.42100000000000004,0.68,0.698,0.275,0.212,14.8,0.28,0.508,0.871,0.16699999999999998,0.41,0.88,0.222,53.0,-237.0,0.95,0.99,0.527,0.563,0.85,0.71,0.292,0.18600000000000003,40.9,0.21,0.43200000000000005,0.409,0.63,0.695,0.249,0.2,15.5,0.29,0.45299999999999996,0.667,0.207,0.45299999999999996,0.75,0.172,1.0
69.0,156.0,1.02,1.05,0.5770000000000001,0.586,0.91,0.7709999999999999,0.302,0.196,31.0,0.24,0.46299999999999997,0.42,0.7,0.723,0.275,0.193,18.3,0.27,0.493,0.8240000000000001,0.257,0.406,0.607,0.146,57.0,165.0,1.03,1.04,0.589,0.624,0.92,0.78,0.27699999999999997,0.19899999999999998,35.5,0.23,0.455,0.379,0.64,0.725,0.29100000000000004,0.193,14.5,0.28,0.579,0.758,0.45799999999999996,0.42100000000000004,0.75,0.303,0.0
